"filename", "language", "Properties", "pip requirements", "Docker", "YAML", "Python", "comment", "blank", "total"
"c:\Users\remne\Documents\Python\Test-Task-API-2\Dockerfile", "Docker", 0, 0, 6, 0, 0, 0, 4, 10
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\conf.py", "Python", 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\keyboards\__init__.py", "Python", 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\keyboards\get_data_items.py", "Python", 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\keyboards\helper.py", "Python", 0, 0, 0, 0, 7, 0, 3, 10
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\keyboards\item_keyboard.py", "Python", 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\keyboards\start_keyboard.py", "Python", 0, 0, 0, 0, 7, 0, 3, 10
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\keyboards\sub_keyboard.py", "Python", 0, 0, 0, 0, 7, 0, 3, 10
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\keyboards\sub_user_keyboard.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\main.py", "Python", 0, 0, 0, 0, 16, 0, 11, 27
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\routers\AI.py", "Python", 0, 0, 0, 0, 37, 0, 12, 49
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\routers\__init__.py", "Python", 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\routers\all_informatioans.py", "Python", 0, 0, 0, 0, 38, 0, 7, 45
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\routers\analog.py", "Python", 0, 0, 0, 0, 15, 0, 7, 22
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\routers\commands.py", "Python", 0, 0, 0, 0, 20, 0, 10, 30
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\routers\information.py", "Python", 0, 0, 0, 0, 80, 0, 24, 104
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\routers\sub_for_item.py", "Python", 0, 0, 0, 0, 38, 0, 8, 46
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\routers\sub_from_user.py", "Python", 0, 0, 0, 0, 17, 0, 6, 23
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\states.py", "Python", 0, 0, 0, 0, 15, 0, 4, 19
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\bot\utils\datebase_utils.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\database.py", "Python", 0, 0, 0, 0, 14, 2, 8, 24
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\main.py", "Python", 0, 0, 0, 0, 19, 0, 10, 29
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\models.py", "Python", 0, 0, 0, 0, 16, 0, 8, 24
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\routers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\routers\products.py", "Python", 0, 0, 0, 0, 23, 0, 11, 34
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\routers\subscribe.py", "Python", 0, 0, 0, 0, 18, 0, 8, 26
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\schemas.py", "Python", 0, 0, 0, 0, 12, 0, 6, 18
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\shedule\shedule.py", "Python", 0, 0, 0, 0, 28, 0, 9, 37
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\utils\data_base_communications\add_to_items.py", "Python", 0, 0, 0, 0, 31, 0, 9, 40
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\utils\data_base_communications\get_item.py", "Python", 0, 0, 0, 0, 33, 0, 9, 42
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\utils\database_utils.py", "Python", 0, 0, 0, 0, 31, 4, 15, 50
"c:\Users\remne\Documents\Python\Test-Task-API-2\app\utils\fetch_utils.py", "Python", 0, 0, 0, 0, 61, 0, 13, 74
"c:\Users\remne\Documents\Python\Test-Task-API-2\docker-compose.yml", "YAML", 0, 0, 0, 43, 0, 0, 3, 46
"c:\Users\remne\Documents\Python\Test-Task-API-2\nginx.conf", "Properties", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\remne\Documents\Python\Test-Task-API-2\requirements.txt", "pip requirements", 0, 47, 0, 0, 0, 0, 1, 48
"Total", "-", 15, 47, 6, 43, 646, 6, 230, 993
